cub_category,scientific_name,inat_taxon_id
001.Black_footed_Albatross,Phoebastria nigripes,4141
002.Laysan_Albatross,Phoebastria immutabilis,4144
003.Sooty_Albatross,Phoebetria fusca,4192
004.Groove_billed_Ani,Crotophaga sulcirostris,1972
005.Crested_Auklet,Aethia cristatella,4542
006.Least_Auklet,Aethia pusilla,4544
007.Parakeet_Auklet,Aethia psittacula,4543
008.Rhinoceros_Auklet,Cerorhinca monocerata,4553
009.Brewer_Blackbird,Euphagus cyanocephalus,10325
010.Red_winged_Blackbird,Agelaius phoeniceus,9744
011.Rusty_Blackbird,Euphagus carolinus,10322
012.Yellow_headed_Blackbird,Xanthocephalus xanthocephalus,10470
013.Bobolink,Dolichonyx oryzivorus,10487
014.Indigo_Bunting,Passerina cyanea,10227
015.Lazuli_Bunting,Passerina amoena,10234
016.Painted_Bunting,Passerina ciris,10224
017.Cardinal,Unknown,-1
018.Spotted_Catbird,Ailuroedus maculosus,512103
019.Gray_Catbird,Dumetella carolinensis,14995
020.Yellow_breasted_Chat,Icteria virens,10243
021.Eastern_Towhee,Pipilo erythrophthalmus,9424
022.Chuck_will_Widow,Antrostomus carolinensis,199833
023.Brandt_Cormorant,Phalacrocorax penicillatus,4277
024.Red_faced_Cormorant,Phalacrocorax urile,4305
025.Pelagic_Cormorant,Phalacrocorax pelagicus,4283
026.Bronzed_Cowbird,Molothrus aeneus,10369
027.Shiny_Cowbird,Molothrus bonariensis,10371
028.Brown_Creeper,Certhia americana,7458
029.American_Crow,Corvus brachyrhynchos,8021
030.Fish_Crow,Corvus ossifragus,8001
031.Black_billed_Cuckoo,Coccyzus erythropthalmus,1960
032.Mangrove_Cuckoo,Coccyzus minor,1964
033.Yellow_billed_Cuckoo,Coccyzus americanus,1965
034.Gray_crowned_Rosy_Finch,Leucosticte tephrocotis,9617
035.Purple_Finch,Haemorhous purpureus,199841
036.Northern_Flicker,Colaptes auratus,18236
037.Acadian_Flycatcher,Empidonax virescens,16638
038.Great_Crested_Flycatcher,Myiarchus crinitus,16028
039.Least_Flycatcher,Empidonax minimus,16602
040.Olive_sided_Flycatcher,Contopus cooperi,16110
041.Scissor_tailed_Flycatcher,Tyrannus forficatus,16783
042.Vermilion_Flycatcher,Pyrocephalus rubinus,16447
043.Yellow_bellied_Flycatcher,Empidonax flaviventris,16603
044.Frigatebird,Unknown,-1
045.Northern_Fulmar,Fulmarus glacialis,4180
046.Gadwall,Mareca strepera,558439
047.American_Goldfinch,Spinus tristis,145310
048.European_Goldfinch,Carduelis carduelis,9398
049.Boat_tailed_Grackle,Quiscalus major,9601
050.Eared_Grebe,Podiceps nigricollis,4205
051.Horned_Grebe,Podiceps auritus,4209
052.Pied_billed_Grebe,Podilymbus podiceps,4246
053.Western_Grebe,Aechmophorus occidentalis,4235
054.Blue_Grosbeak,Passerina caerulea,73155
055.Evening_Grosbeak,Coccothraustes vespertinus,9800
056.Pine_Grosbeak,Pinicola enucleator,9771
057.Rose_breasted_Grosbeak,Pheucticus ludovicianus,10271
058.Pigeon_Guillemot,Cepphus columba,4415
059.California_Gull,Larus californicus,4385
060.Glaucous_winged_Gull,Larus glaucescens,4399
061.Heermann_Gull,Larus heermanni,4353
062.Herring_Gull,Larus argentatus,204533
063.Ivory_Gull,Pagophila eburnea,4555
064.Ring_billed_Gull,Larus delawarensis,4364
065.Slaty_backed_Gull,Larus schistisagus,4366
066.Western_Gull,Larus occidentalis,4345
067.Anna_Hummingbird,Calypte anna,6317
068.Ruby_throated_Hummingbird,Archilochus colubris,6432
069.Rufous_Hummingbird,Selasphorus rufus,6363
070.Green_Violetear,Unknown,-1,Has been split into the lesser violetear and the mexican violetear
071.Long_tailed_Jaeger,Stercorarius longicaudus,4481
072.Pomarine_Jaeger,Stercorarius pomarinus,4491
073.Blue_Jay,Cyanocitta cristata,8229
074.Florida_Jay,Unknown,-1
075.Green_Jay,Cyanocorax yncas,8474
076.Dark_eyed_Junco,Junco hyemalis,10094
077.Tropical_Kingbird,Tyrannus melancholicus,16787
078.Gray_Kingbird,Tyrannus dominicensis,16798
079.Belted_Kingfisher,Megaceryle alcyon,2548
080.Green_Kingfisher,Chloroceryle americana,2669
081.Pied_Kingfisher,Ceryle rudis,2662
082.Ringed_Kingfisher,Megaceryle torquata,2552
083.White_breasted_Kingfisher,Halcyon smyrnensis,204519
084.Red_legged_Kittiwake,Rissa brevirostris,4493
085.Horned_Lark,Eremophila alpestris,7294
